┌────────────────────────────────────────────────────────┬──────┬────────┐
│                          name                          │ year │ rating │
│ My Father and My Son                                   │ 2005 │ 8.2    │
│ Pan's Labyrinth                                        │ 2006 │ 8.2    │
│ There Will Be Blood                                    │ 2007 │ 8.2    │
│ No Country for Old Men                                 │ 2007 │ 8.2    │
│ Ratatouille                                            │ 2007 │ 8.1    │
│ Into the Wild                                          │ 2007 │ 8.1    │
│ Gran Torino                                            │ 2008 │ 8.1    │
│ The Secret in Their Eyes                               │ 2009 │ 8.2    │
│ Mary and Max                                           │ 2009 │ 8.1    │
│ Hachi: A Dog's Tale                                    │ 2009 │ 8.1    │
│ Shutter Island                                         │ 2010 │ 8.2    │
│ How to Train Your Dragon                               │ 2010 │ 8.1    │
│ Warrior                                                │ 2011 │ 8.2    │
│ Harry Potter and the Deathly Hallows: Part 2           │ 2011 │ 8.1    │
│ The Help                                               │ 2011 │ 8.1    │
│ The Wolf of Wall Street                                │ 2013 │ 8.2    │
│ Prisoners                                              │ 2013 │ 8.1    │
│ 12 Years a Slave                                       │ 2013 │ 8.1    │
│ Rush                                                   │ 2013 │ 8.1    │
│ Gone Girl                                              │ 2014 │ 8.1    │
│ The Grand Budapest Hotel                               │ 2014 │ 8.1    │
│ Wild Tales                                             │ 2014 │ 8.1    │
│ Inside Out                                             │ 2015 │ 8.2    │
│ Mad Max: Fury Road                                     │ 2015 │ 8.1    │
│ Room                                                   │ 2015 │ 8.1    │
│ Spotlight                                              │ 2015 │ 8.1    │
│ Hacksaw Ridge                                          │ 2016 │ 8.1    │
│ The Handmaiden                                         │ 2016 │ 8.1    │
│ Three Billboards Outside Ebbing, Missouri              │ 2017 │ 8.1    │
│ Logan                                                  │ 2017 │ 8.1    │
│ Green Book                                             │ 2018 │ 8.2    │
│ 1917                                                   │ 2019 │ 8.2    │
│ Klaus                                                  │ 2019 │ 8.2    │
│ Ford v Ferrari                                         │ 2019 │ 8.1    │
│ The Father                                             │ 2020 │ 8.2    │
│ Spider-Man: No Way Home                                │ 2021 │ 8.2    │
└────────────────────────────────────────────────────────┴──────┴────────┘
